"Sample_name","Station_no","Cast_no","Nominal_timepoint_hour","Hours_since_experiment_start_nominal","Timestamp_nominal_HST_ISO8601","Timestamp_bottle_closure_GMT_ISO8601","Lat","Lon","CTD_pres_dbar","CTD_temp_degC","CTD_salinity","CTD_oxy_umol_kg","CTD_chl_ug_L","KM1513_shipboard_PAR_30s.mav_W_m2"
"S06C1_A_0600",6,1,600,6,"2015-07-26T06:00:00-1000","2015-07-26T17:11:00-0000",24.349,156.798,16.6666666666667,26.5938333333333,35.3828333333333,204.833333333333,0.213816666666667,65.7695661666667
"S06C1_C_0600",6,1,600,6,"2015-07-26T06:00:00-1000","2015-07-26T17:11:00-0000",24.349,156.798,16.6666666666667,26.5938333333333,35.3828333333333,204.833333333333,0.213816666666667,65.7695661666667
"S07C1_A_1000",7,1,1000,10,"2015-07-26T10:00:00-1000","2015-07-26T20:25:00-0000",24.367,156.799,14.8166666666667,26.6331666666667,35.39,205.3,0.164533333333333,488.659184166667
"S07C1_B_1000",7,1,1000,10,"2015-07-26T10:00:00-1000","2015-07-26T20:25:00-0000",24.367,156.799,14.8166666666667,26.6331666666667,35.39,205.3,0.164533333333333,488.659184166667
"S08C1_B_1400",8,1,1400,14,"2015-07-26T14:00:00-1000","2015-07-27T00:29:00-0000",24.388,156.767,15.7333333333333,26.6308333333333,35.385,206.1,0.13445,513.703226066667
"S08C1_C_1400",8,1,1400,14,"2015-07-26T14:00:00-1000","2015-07-27T00:29:00-0000",24.388,156.767,15.7333333333333,26.6308333333333,35.385,206.1,0.13445,513.703226066667
"S11C1_A_1800",11,1,1800,18,"2015-07-26T18:00:00-1000","2015-07-27T04:27:00-0000",24.374,156.792,15.45,26.6823333333333,35.3788333333333,206.55,0.19815,86.7651356
"S11C1_C_1800",11,1,1800,18,"2015-07-26T18:00:00-1000","2015-07-27T04:27:00-0000",24.374,156.792,15.45,26.6823333333333,35.3788333333333,206.55,0.19815,86.7651356
"S14C1_B_2200",14,1,2200,22,"2015-07-26T22:00:00-1000","2015-07-27T08:46:00-0000",24.424,156.761,15.3166666666667,26.7301666666667,35.3743333333333,205.7,0.220133333333333,0.521612866666666
"S14C1_C_2200",14,1,2200,22,"2015-07-26T22:00:00-1000","2015-07-27T08:46:00-0000",24.424,156.761,15.3166666666667,26.7301666666667,35.3743333333333,205.7,0.220133333333333,0.521612866666666
"S15C1_B_0200",15,1,200,26,"2015-07-27T02:00:00-1000","2015-07-27T12:27:00-0000",24.46,156.738,14.3,26.7126666666667,35.3771666666667,205.266666666667,0.219516666666667,0.521612866666666
"S15C1_C_0200",15,1,200,26,"2015-07-27T02:00:00-1000","2015-07-27T12:27:00-0000",24.46,156.738,14.3,26.7126666666667,35.3771666666667,205.266666666667,0.219516666666667,0.521612866666666
"S16C1_A_0600",16,1,600,30,"2015-07-27T06:00:00-1000","2015-07-27T16:26:00-0000",24.481,156.718,15.4333333333333,26.6815,35.38,205.133333333333,0.21745,73.2327903
"S16C1_B_0600",16,1,600,30,"2015-07-27T06:00:00-1000","2015-07-27T16:26:00-0000",24.481,156.718,15.4333333333333,26.6815,35.38,205.133333333333,0.21745,73.2327903
