"Lipid concentrations from crusie KM1513 (SCOPE HOE-Legacy 2); for Becker et al., in prep; concentrations in ng/L; outliers highlighted",,,,,,,,,,,,,,
Time of day ,Day,Timestamp,DGCC,DGTS/DGTS,DGDG,MGDG,PC,PE,PG,SQDG,TAG,PQ,UQ,Chl
10:00,7/26,7/26/15 10:00,,38.82,243.54,94.42,48.84,72.27,219.08,581.85,1571.64,18.40,26.22,175.86
14:00,7/26,7/26/15 14:00,13.49,40.96,244.63,102.83,57.13,84.58,239.40,625.76,1683.66,22.39,26.53,168.47
15:00,7/26,7/26/15 15:00,16.97,43.85,314.11,124.11,59.43,86.55,233.82,719.81,2572.71,28.81,30.21,176.57
16:00,7/26,7/26/15 16:00,12.92,39.69,260.97,106.73,52.16,77.05,221.64,608.89,1695.47,22.39,27.44,163.93
2:00,7/27,7/27/15 2:00,13.77,38.59,213.76,94.75,54.38,79.76,201.37,566.56,1110.55,21.82,29.91,191.89
6:00,7/27,7/27/15 6:00,12.65,37.50,181.52,81.57,51.13,75.29,205.79,555.69,819.96,20.82,32.56,210.86
10:00,7/27,7/27/15 10:00,14.33,34.76,218.93,87.07,,,,,1223.33,18.14,,140.12
14:00,7/27,7/27/15 14:00,15.27,44.39,252.27,103.96,59.11,86.38,246.11,594.98,1861.21,21.33,23.08,134.48
18:00,7/27,7/27/15 18:00,19.41,46.45,299.16,112.86,65.47,94.13,248.48,675.20,2231.57,26.50,29.36,139.84
22:00,7/27,7/27/15 22:00,16.03,44.00,247.68,101.56,65.19,94.77,232.75,598.35,1928.38,22.08,30.20,135.16
2:00,7/28,7/28/15 2:00,14.08,40.71,219.22,80.15,61.28,89.69,213.67,545.74,1060.65,20.61,31.24,181.72
6:00,7/28,7/28/15 6:00,14.11,38.61,171.41,,64.74,94.09,209.13,527.72,1159.88,18.61,39.10,193.43
10:00,7/28,7/28/15 10:00,17.72,39.86,212.62,89.93,60.10,86.65,215.39,574.13,1232.96,18.43,26.43,154.93
14:00,7/28,7/28/15 14:00,20.66,53.84,320.21,129.75,79.68,115.06,297.05,802.42,2301.82,28.83,32.49,171.24
18:00,7/28,7/28/15 18:00,20.15,49.18,313.33,121.11,68.84,98.80,263.05,694.03,2683.13,29.06,31.80,159.78
