Station,time,Replicate,Timestamp_bottle_closure_GMT_ISO8601,Cysteic_Acid_pmol.L,Cysteinolic_acid_PA.L,DHPS_pmol.L,Isethionic_Acid_pmol.L,Sulfolactic_Acid_pmol.L,Taurine_pmol.L
6,700,1,2015-07-26T17:11:00-0000,4.42150735,694954.1026,56.94795283,3.57130745,2.64564139,19.06741488
6,700,2,2015-07-26T17:11:00-0000,0.493252234,2043137.907,528.9746278,14.57463601,3.587628714,54.78992
6,700,3,2015-07-26T17:11:00-0000,3.071355759,1707757.778,432.1114514,10.48121116,6.45068142,42.90228318
7,1000,1,2015-07-26T20:25:00-0000,7.601563502,3198880.645,315.9243128,12.60354513,4.005653025,209.0268326
7,1000,2,2015-07-26T20:25:00-0000,4.291812327,5744860.723,771.5035124,31.42081533,3.718889594,65.65171471
7,1000,3,2015-07-26T20:25:00-0000,0.59220784,4729765.333,1527.930893,19.56112543,6.248777504,51.14880631
8,1400,1,2015-07-27T00:29:00-0000,7.195938152,5410412.571,1761.605319,33.7398591,4.320685061,71.7303287
8,1400,2,2015-07-27T00:29:00-0000,0.466944595,10215018.82,5043.952082,55.227529,12.42104062,94.6193868
8,1400,3,2015-07-27T00:29:00-0000,6.103194309,4964977.059,666.9055094,45.78464072,2.872351591,114.7706263
11,1800,1,2015-07-27T04:27:00-0000,2.901024962,7968625.143,2311.33937,49.9553101,2.753558414,135.1765251
11,1800,2,2015-07-27T04:27:00-0000,3.365803459,6174506.286,2421.629807,50.08233631,3.607932411,104.2630367
11,1800,3,2015-07-27T04:27:00-0000,4.24931929,6889203.529,3715.430896,50.60148759,6.069351816,80.3175271
14,2200,1,2015-07-27T08:46:00-0000,2.863949006,5728236.571,2425.434621,53.9987569,3.317884741,82.99041287
14,2200,2,2015-07-27T08:46:00-0000,3.805281032,2953241.714,731.5779973,24.98670242,4.609132345,73.44569172
14,2200,3,2015-07-27T08:46:00-0000,6.984769837,10715598.86,2816.277015,78.72981307,3.482213055,208.5850659
15,200,1,2015-07-27T12:27:00-0000,6.801304379,6595257.143,1154.30698,30.07656056,3.389648972,68.07036549
15,200,2,2015-07-27T12:27:00-0000,3.93076458,1850287.143,444.525155,14.74463426,1.722947369,51.50888103
15,200,3,2015-07-27T12:27:00-0000,4.389458736,3281427.143,399.4464836,17.20468275,2.997936751,69.5689167
16,600,1,2015-07-27T16:26:00-0000,10.76519375,2223154,285.4659072,11.30005387,10.67553257,175.5882999
16,600,2,2015-07-27T16:26:00-0000,4.64638494,2653587.143,915.7151023,20.70313636,5.046443107,51.23440121
