HOE-Legacy-2A (KM1513) Cruise Summary
Retrieved from ftp://ftp.soest.hawaii.edu/dkarl/scope/cruise.summaries/hoelegacy2A.sum on 28 March 2018, by James Collins

Stn Cast      Date      Time     Latitude     Longitude     Depth  Bottles

  1   1   Jul 25 2015 20:11:57  24 12.215 N  156 47.695 W   706.56    24
  2   1   Jul 25 2015 23:14:29  24 12.210 N  156 47.705 W   505.28    24
  3   1   Jul 26 2015 02:29:30  24 14.327 N  156 48.380 W    17.38    24
  4   1   Jul 26 2015 12:03:57  24 17.334 N  156 49.121 W   706.16    24
  5   1   Jul 26 2015 14:10:35  24 19.063 N  156 48.407 W  1009.17    22
  6   1   Jul 26 2015 16:36:21  24 20.930 N  156 47.894 W   507.41    24
  7   1   Jul 26 2015 19:54:44  24 22.044 N  156 47.969 W   501.25    24
  8   1   Jul 26 2015 23:52:35  24 23.264 N  156 45.992 W   501.28    24
  9   1   Jul 27 2015 01:14:44  24 23.201 N  156 46.030 W    16.19    24
 10   1   Jul 27 2015 01:45:33  24 23.254 N  156 46.014 W    17.69    24
 11   1   Jul 27 2015 03:49:12  24 22.428 N  156 47.533 W   499.99    24
 12   1   Jul 27 2015 05:59:32  24 25.361 N  156 45.695 W    17.69    24
 13   1   Jul 27 2015 07:01:25  24 25.358 N  156 45.703 W   150.62    24
 14   1   Jul 27 2015 08:13:23  24 25.416 N  156 45.689 W   500.47    24
 15   1   Jul 27 2015 11:57:39  24 27.574 N  156 44.287 W   501.03    24
 16   1   Jul 27 2015 15:51:44  24 28.866 N  156 43.086 W   499.99    24
 17   1   Jul 27 2015 20:05:42  24 29.845 N  156 41.238 W   500.38    24
 18   1   Jul 28 2015 00:07:13  24 32.005 N  156 38.754 W   504.26    24
 19   1   Jul 28 2015 04:02:21  24 32.333 N  156 38.222 W   503.66    24
 20   1   Jul 28 2015 07:57:44  24 32.471 N  156 38.051 W   503.99    24
 21   1   Jul 28 2015 11:59:28  24 33.115 N  156 34.876 W   503.77    24
 22   1   Jul 28 2015 15:49:43  24 33.108 N  156 35.076 W   503.43    24
 23   1   Jul 28 2015 19:47:49  24 33.848 N  156 33.418 W   505.59    24
 24   1   Jul 28 2015 23:58:38  24 35.670 N  156 31.428 W   504.68    24
 25   1   Jul 29 2015 01:58:33  24 35.975 N  156 30.427 W    25.87    20
 26   1   Jul 29 2015 04:05:14  24 36.160 N  156 30.583 W   503.97    24
 27   1   Jul 29 2015 05:41:47  24 36.196 N  156 30.570 W    18.26    20
 28   1   Jul 29 2015 07:54:01  24 36.194 N  156 30.210 W   505.42    24
 29   1   Jul 29 2015 11:59:06  24 35.155 N  156 26.287 W   504.19    24
 30   1   Jul 29 2015 15:51:08  24 34.578 N  156 25.214 W   504.43    24
 31   1   Jul 29 2015 19:51:14  24 34.201 N  156 25.570 W   500.70    24
 32   1   Jul 29 2015 23:51:53  24 34.972 N  156 24.805 W   500.71    24
 33   1   Jul 30 2015 03:59:29  24 34.560 N  156 23.215 W   501.00    24
 34   1   Jul 30 2015 07:44:27  24 34.580 N  156 22.871 W   501.27    24
 35   1   Jul 30 2015 11:55:35  24 35.000 N  156 21.820 W   500.52    24
 36   1   Jul 30 2015 13:36:53  24 34.955 N  156 21.823 W    29.19    12
 37   1   Jul 30 2015 16:05:56  24 34.961 N  156 21.768 W   501.33    24
 38   1   Jul 30 2015 23:56:54  24 32.948 N  156 19.818 W   500.47    24
 39   1   Jul 31 2015 01:53:52  24 32.879 N  156 19.831 W   500.02    18
 40   1   Jul 31 2015 03:54:35  24 32.992 N  156 19.907 W  1009.62    24
 41   1   Jul 31 2015 07:51:13  24 33.034 N  156 19.914 W   500.78    11
 42   1   Jul 31 2015 09:54:32  24 33.287 N  156 19.787 W   500.54    24
 43   1   Jul 31 2015 11:42:09  24 33.242 N  156 19.793 W   500.86    24
 44   1   Jul 31 2015 16:00:33  24 32.860 N  156 18.420 W   500.27    16
 45   1   Jul 31 2015 19:54:20  24 32.456 N  156 19.188 W   501.19    24
 46   1   Jul 31 2015 23:54:45  24 32.599 N  156 17.940 W   500.88    17
 47   1   Aug 01 2015 04:08:59  24 32.102 N  156 18.565 W   500.15    24
 48   1   Aug 01 2015 05:52:52  24 30.004 N  156 18.043 W    50.33    21
 49   1   Aug 01 2015 07:47:28  24 29.828 N  156 18.432 W   490.30    24
 50   1   Aug 01 2015 10:31:53  24 29.939 N  156 18.714 W    21.76    10
 51   1   Aug 01 2015 11:53:40  24 29.978 N  156 18.715 W   490.11    24
 52   1   Aug 01 2015 15:57:39  24 29.752 N  156 17.862 W   500.97    24
 53   1   Aug 01 2015 19:54:35  24 29.874 N  156 18.114 W   501.03    24
 54   1   Aug 01 2015 23:58:12  24 28.889 N  156 18.043 W   500.73    24
 55   1   Aug 02 2015 03:53:37  24 28.697 N  156 17.802 W   500.96    24
 56   1   Aug 02 2015 07:50:30  24 28.370 N  156 17.574 W   501.62    24
 57   1   Aug 02 2015 11:59:05  24 24.917 N  156 18.835 W   500.35    24
 58   1   Aug 02 2015 16:05:56  24 24.822 N  156 18.886 W   501.27    24
 59   1   Aug 02 2015 18:01:52  24 24.808 N  156 18.886 W   105.56    14
 60   1   Aug 02 2015 19:52:28  24 24.798 N  156 18.737 W   501.38    24
 61   1   Aug 02 2015 23:52:31  24 24.281 N  156 21.318 W   500.23    24
 62   1   Aug 03 2015 02:47:36  24 23.968 N  156 21.223 W   151.43    11
 63   1   Aug 03 2015 04:08:17  24 23.868 N  156 21.008 W   500.43    24
 64   1   Aug 03 2015 08:01:48  24 21.701 N  156 20.598 W   500.48    24
 65   1   Aug 03 2015 10:00:48  24 20.692 N  156 20.750 W   150.16    19
 66   1   Aug 03 2015 11:56:00  24 20.768 N  156 20.802 W   501.57    24
 67   1   Aug 03 2015 15:57:22  24 20.911 N  156 18.824 W   500.85    24
 68   1   Aug 03 2015 19:59:46  24 17.375 N  156 24.496 W   500.90    24
 69   1   Aug 03 2015 23:54:32  24 17.144 N  156 24.716 W   501.31    24
 70   1   Aug 04 2015 04:02:19  24 16.990 N  156 23.242 W   499.87    24
 71   1   Aug 04 2015 06:21:39  24 16.398 N  156 26.038 W    54.31    24
 72   1   Aug 04 2015 07:19:25  24 16.402 N  156 26.028 W  3755.25    24
 73   1   Aug 04 2015 11:33:19  24 16.442 N  156 26.068 W   201.34    24
 74   1   Aug 04 2015 12:21:57  24 16.510 N  156 26.083 W   151.00    19
